title,artist,genre
Mr. Brightside,The Killers,"rock, alternative, indie, alternative_rock, indie_rock, 00s"
Wonderwall,Oasis,"rock, alternative, indie, pop, alternative_rock, british, 90s, love, britpop"
Come as You Are,Nirvana,"rock, alternative, alternative_rock, 90s, grunge"
Take Me Out,Franz Ferdinand,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop"
Creep,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop"
Somebody Told Me,The Killers,"rock, alternative, indie, pop, alternative_rock, indie_rock"
Viva la Vida,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, britpop"
Karma Police,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop"
The Scientist,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, piano, love, beautiful, 00s, britpop, mellow"
Clocks,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, chillout, piano, britpop"
Under the Bridge,Red Hot Chili Peppers,"rock, alternative, alternative_rock, 90s, funk"
Seven Nation Army,The White Stripes,"rock, alternative, indie, alternative_rock, indie_rock"
Feel Good Inc.,Gorillaz,"rock, electronic, alternative, indie, pop, alternative_rock, dance, british, hip_hop, trip_hop"
Chop Suey!,System of a Down,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal"
Fix You,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, love, beautiful, britpop, mellow"
Lithium,Nirvana,"rock, alternative, alternative_rock, 90s, grunge"
Song 2,Blur,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop"
In the End,Linkin Park,"rock, alternative, metal, alternative_rock, nu_metal"
Chasing Cars,Snow Patrol,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, love, beautiful, britpop, mellow"
Otherside,Red Hot Chili Peppers,"rock, alternative, alternative_rock, 90s, funk"
When You Were Young,The Killers,"rock, alternative, indie, alternative_rock, indie_rock"
Supermassive Black Hole,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british"
Bohemian Rhapsody,Queen,"rock, classic_rock, hard_rock, 80s, british, 70s"
Use Somebody,Kings of Leon,"rock, alternative, indie, alternative_rock, indie_rock"
Starlight,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british, beautiful, britpop"
Paranoid Android,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, progressive_rock, british, 90s, britpop"
Everlong,Foo Fighters,"rock, alternative, alternative_rock, hard_rock, 90s, grunge"
No Surprises,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop, mellow"
Iris,Goo Goo Dolls,"rock, alternative, pop, alternative_rock, soundtrack, 90s, love, beautiful"
Numb,Linkin Park,"rock, alternative, metal, alternative_rock, nu_metal"
Zombie,The Cranberries,"rock, alternative, female_vocalists, alternative_rock, 90s"
Dani California,Red Hot Chili Peppers,"rock, alternative, alternative_rock, funk"
Stairway to Heaven,Led Zeppelin,"rock, classic_rock, hard_rock, progressive_rock, 70s"
Welcome to the Jungle,Guns N' Roses,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal"
Clint Eastwood,Gorillaz,"rock, electronic, alternative, indie, pop, alternative_rock, british, rap, hip_hop, trip_hop, 00s"
Paint It Black,The Rolling Stones,"rock, classic_rock, british, 60s"
Reptilia,The Strokes,"rock, alternative, indie, alternative_rock, indie_rock, post_punk, 00s"
The Pretender,Foo Fighters,"rock, alternative, alternative_rock, hard_rock, grunge"
All These Things That I've Done,The Killers,"rock, alternative, indie, alternative_rock, indie_rock, 00s"
Losing My Religion,R.E.M.,"rock, alternative, indie, pop, alternative_rock, classic_rock, 90s"
Paranoid,Black Sabbath,"rock, metal, classic_rock, hard_rock, heavy_metal, 70s"
Time Is Running Out,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british"
I Kissed a Girl,Katy Perry,"rock, pop, female_vocalists, dance, pop_rock"
